2025-02-24 12:08:42,422 - MacroTester - INFO - Visualization initialized (headless: True)
2025-02-24 12:08:42,422 - MacroTester - INFO - DirectInput initialized successfully
2025-02-24 12:08:42,422 - MacroTester - INFO - Test mode: Using mock window Test Window
2025-02-24 12:08:45,422 - MacroTester - INFO - Started recording mouse movements
Recording mouse movements for 10 seconds...
2025-02-24 12:08:52,449 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 670, 'y': 20, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398932.4493766}
2025-02-24 12:08:52,549 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 698, 'y': 26, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398932.5497816}
2025-02-24 12:08:52,650 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 723, 'y': 32, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398932.650117}
2025-02-24 12:08:52,750 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 745, 'y': 39, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398932.7504613}
2025-02-24 12:08:52,850 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 764, 'y': 47, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398932.8507845}
2025-02-24 12:08:52,951 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 778, 'y': 56, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398932.9510887}
2025-02-24 12:08:53,051 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 789, 'y': 65, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398933.0514805}
2025-02-24 12:08:53,151 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 796, 'y': 75, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398933.1518855}
2025-02-24 12:08:53,252 - MacroTester - DEBUG - Recorded action: {'type': 'scroll', 'x': None, 'y': None, 'button': 'left', 'duration': 0.1, 'scroll_amount': -2, 'key_code': None, 'text': None, 'timestamp': 1740398933.2522376}
2025-02-24 12:08:53,352 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 798, 'y': 96, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398933.3525465}
